Time [s],Temperature
0.0,7.1
3600.0,7.6
7200.0,8.6
10800.0,9.3
14400.0,9.0
18000.0,7.8
21600.0,8.3
25200.0,12.2
28800.0,16.3
32400.0,16.2
36000.0,16.3
39600.0,13.4
43200.0,12.7
46800.0,13.0
50400.0,14.5
54000.0,15.5
57600.0,17.9
61200.0,17.4
64800.0,17.4
68400.0,17.2
72000.0,17.0
75600.0,16.2
79200.0,15.3
82800.0,14.4
86400.0,13.1
90000.0,12.7
93600.0,12.5
97200.0,13.0
100800.0,13.5
104400.0,13.9
108000.0,14.2
111600.0,14.3
115200.0,15.4
118800.0,16.3
122400.0,16.4
126000.0,16.8
129600.0,16.7
133200.0,17.0
136800.0,17.8
140400.0,18.7
144000.0,20.8
147600.0,20.8
151200.0,20.6
154800.0,20.0
158400.0,19.0
162000.0,17.8
165600.0,16.8
169200.0,17.8
172800.0,17.9
176400.0,17.4
180000.0,16.5
183600.0,14.9
187200.0,14.5
190800.0,13.8
194400.0,13.3
198000.0,13.3
201600.0,13.5
205200.0,14.6
208800.0,16.6
212400.0,17.7
216000.0,19.5
219600.0,18.9
223200.0,20.5
226800.0,21.3
230400.0,21.4
234000.0,19.9
237600.0,19.5
241200.0,17.3
244800.0,13.4
248400.0,10.8
252000.0,9.4
255600.0,7.9
259200.0,6.8
262800.0,6.6
266400.0,7.5
270000.0,7.6
273600.0,5.9
277200.0,4.5
280800.0,4.7
284400.0,10.6
288000.0,14.5
291600.0,15.5
295200.0,16.0
298800.0,15.4
302400.0,15.5
306000.0,15.5
309600.0,15.9
313200.0,15.0
316800.0,14.8
320400.0,13.9
324000.0,13.7
327600.0,12.4
331200.0,7.9
334800.0,5.5
338400.0,3.9
342000.0,2.9
345600.0,2.0
349200.0,1.0
352800.0,0.4
356400.0,0.8
360000.0,1.5
363600.0,2.8
367200.0,4.0
370800.0,6.5
374400.0,11.2
378000.0,14.1
381600.0,17.7
385200.0,19.0
388800.0,20.8
392400.0,22.6
396000.0,22.7
399600.0,16.9
403200.0,13.7
406800.0,13.0
410400.0,12.8
414000.0,12.5
417600.0,12.0
421200.0,11.2
424800.0,9.0
428400.0,8.3
432000.0,9.0
435600.0,9.3
439200.0,8.2
442800.0,8.6
446400.0,7.1
450000.0,8.8
453600.0,8.3
457200.0,8.6
460800.0,8.9
464400.0,9.4
468000.0,9.4
471600.0,11.3
475200.0,8.4
478800.0,10.3
482400.0,11.7
486000.0,11.1
489600.0,11.0
493200.0,10.5
496800.0,10.1
500400.0,9.0
504000.0,6.4
507600.0,6.4
511200.0,6.5
514800.0,4.0
518400.0,2.1
522000.0,0.5
525600.0,-0.6
529200.0,-1.4
532800.0,-1.5
536400.0,-1.6
540000.0,0.1
543600.0,1.7
547200.0,3.2
550800.0,5.7
554400.0,6.8
558000.0,8.3
561600.0,9.7
565200.0,10.1
568800.0,10.9
572400.0,10.7
576000.0,10.4
579600.0,9.6
583200.0,8.6
586800.0,8.2
590400.0,7.3
594000.0,6.7
597600.0,6.1
601200.0,5.3
604800.0,5.2
608400.0,4.7
612000.0,4.8
615600.0,4.1
619200.0,3.7
622800.0,3.4
626400.0,2.7
630000.0,2.2
633600.0,1.4
637200.0,0.8
640800.0,0.9
644400.0,2.2
648000.0,1.5
651600.0,1.7
655200.0,0.9
658800.0,0.4
662400.0,-0.1
666000.0,-0.5
669600.0,-0.7
673200.0,-1.2
676800.0,-1.5
680400.0,-1.6
684000.0,-2.0
687600.0,-2.4
691200.0,-2.4
694800.0,-2.4
698400.0,-2.6
702000.0,-2.8
705600.0,-2.9
709200.0,-2.9
712800.0,-2.8
716400.0,-2.6
720000.0,-2.1
723600.0,-1.6
727200.0,-0.9
730800.0,-0.3
734400.0,0.9
738000.0,2.1
741600.0,4.4
745200.0,4.3
748800.0,5.0
752400.0,5.5
756000.0,5.4
759600.0,4.2
763200.0,0.2
766800.0,-1.9
770400.0,-2.6
774000.0,-3.2
777600.0,-3.9
781200.0,-4.4
784800.0,-4.9
788400.0,-5.2
792000.0,-5.5
795600.0,-6.0
799200.0,-4.4
802800.0,0.4
806400.0,4.2
810000.0,5.4
813600.0,6.3
817200.0,7.1
820800.0,8.6
824400.0,9.1
828000.0,10.1
831600.0,10.4
835200.0,10.6
838800.0,9.6
842400.0,9.8
846000.0,6.7
849600.0,3.1
853200.0,0.6
856800.0,-1.0
860400.0,-1.9
864000.0,-2.3
867600.0,-2.9
871200.0,-3.3
874800.0,-3.6
878400.0,-4.1
882000.0,-4.3
885600.0,-3.1
889200.0,2.1
892800.0,6.9
896400.0,10.2
900000.0,11.9
903600.0,13.1
907200.0,12.9
910800.0,14.0
914400.0,13.6
918000.0,13.7
921600.0,13.2
925200.0,12.7
928800.0,11.9
932400.0,10.4
936000.0,6.5
939600.0,3.9
943200.0,2.3
946800.0,0.8
950400.0,-0.4
954000.0,-1.4
957600.0,-1.7
961200.0,-0.3
964800.0,0.2
968400.0,3.3
972000.0,4.9
975600.0,6.8
979200.0,8.8
982800.0,9.1
986400.0,10.6
990000.0,11.4
993600.0,12.7
997200.0,14.1
1000800.0,13.7
1004400.0,14.6
1008000.0,14.6
1011600.0,14.1
1015200.0,13.7
1018800.0,12.1
1022400.0,7.2
1026000.0,4.2
1029600.0,2.1
1033200.0,0.7
1036800.0,-0.6
1040400.0,-1.5
1044000.0,-2.0
1047600.0,-2.3
1051200.0,-2.8
1054800.0,-2.9
1058400.0,-1.9
1062000.0,4.2
1065600.0,9.4
1069200.0,10.9
1072800.0,12.1
1076400.0,13.3
1080000.0,14.0
1083600.0,14.2
1087200.0,14.6
1090800.0,14.6
1094400.0,13.8
1098000.0,11.5
1101600.0,9.3
1105200.0,7.5
1108800.0,6.6
1112400.0,5.7
1116000.0,5.3
1119600.0,5.2
1123200.0,5.2
1126800.0,5.5
1130400.0,5.6
1134000.0,5.8
1137600.0,6.0
1141200.0,6.1
1144800.0,6.4
1148400.0,6.9
1152000.0,8.0
1155600.0,8.9
1159200.0,10.2
1162800.0,11.0
1166400.0,13.2
1170000.0,14.4
1173600.0,14.9
1177200.0,15.3
1180800.0,14.6
1184400.0,13.2
1188000.0,11.8
1191600.0,11.0
1195200.0,9.5
1198800.0,8.5
1202400.0,8.0
1206000.0,8.1
1209600.0,7.8
1213200.0,7.4
1216800.0,7.0
1220400.0,6.6
1224000.0,6.3
1227600.0,6.2
1231200.0,6.4
1234800.0,6.9
1238400.0,8.0
1242000.0,8.8
1245600.0,9.5
1249200.0,11.0
1252800.0,11.2
1256400.0,12.3
1260000.0,11.4
1263600.0,11.6
1267200.0,11.5
1270800.0,11.3
1274400.0,10.8
1278000.0,10.5
1281600.0,9.6
1285200.0,8.4
1288800.0,7.8
1292400.0,7.6
1296000.0,7.2
1299600.0,6.0
1303200.0,4.6
1306800.0,4.4
1310400.0,4.5
1314000.0,4.2
1317600.0,3.9
1321200.0,10.1
1324800.0,14.7
1328400.0,15.9
1332000.0,16.7
1335600.0,17.4
1339200.0,17.8
1342800.0,18.6
1346400.0,20.2
1350000.0,19.8
1353600.0,20.5
1357200.0,20.4
1360800.0,19.6
1364400.0,15.9
1368000.0,11.2
1371600.0,8.3
1375200.0,5.9
1378800.0,4.1
1382400.0,3.0
1386000.0,1.7
1389600.0,0.8
1393200.0,-0.1
1396800.0,-0.8
1400400.0,-1.0
1404000.0,0.4
1407600.0,7.0
1411200.0,13.2
1414800.0,19.0
1418400.0,19.8
1422000.0,21.1
1425600.0,22.2
1429200.0,22.3
1432800.0,23.3
1436400.0,23.5
1440000.0,23.4
1443600.0,24.0
1447200.0,22.7
1450800.0,19.1
1454400.0,14.5
1458000.0,11.2
1461600.0,9.2
1465200.0,7.5
1468800.0,6.2
1472400.0,4.9
1476000.0,4.1
1479600.0,3.9
1483200.0,3.9
1486800.0,4.1
1490400.0,5.4
1494000.0,8.6
1497600.0,12.2
1501200.0,18.3
1504800.0,20.8
1508400.0,22.8
1512000.0,23.0
1515600.0,23.6
1519200.0,23.1
1522800.0,23.7
1526400.0,24.3
1530000.0,23.6
1533600.0,22.6
1537200.0,20.7
1540800.0,17.9
1544400.0,14.2
1548000.0,11.9
1551600.0,10.0
1555200.0,9.2
1558800.0,7.9
1562400.0,6.4
1566000.0,5.2
1569600.0,4.8
1573200.0,4.4
1576800.0,6.0
1580400.0,13.9
1584000.0,16.5
1587600.0,19.6
1591200.0,22.5
1594800.0,24.5
1598400.0,24.7
1602000.0,25.0
1605600.0,25.5
1609200.0,26.3
1612800.0,24.9
1616400.0,24.2
1620000.0,24.5
1623600.0,21.8
1627200.0,18.4
1630800.0,14.6
1634400.0,12.6
1638000.0,11.0
1641600.0,9.5
1645200.0,9.5
1648800.0,8.1
1652400.0,7.4
1656000.0,6.9
1659600.0,6.6
1663200.0,8.4
1666800.0,14.0
1670400.0,17.5
1674000.0,20.3
1677600.0,23.3
1681200.0,24.4
1684800.0,25.3
1688400.0,26.1
1692000.0,26.2
1695600.0,25.8
1699200.0,25.2
1702800.0,24.4
1706400.0,22.9
1710000.0,20.9
1713600.0,17.6
1717200.0,15.2
1720800.0,14.0
1724400.0,13.1
1728000.0,11.1
1731600.0,9.5
1735200.0,8.1
1738800.0,6.9
1742400.0,6.3
1746000.0,5.5
1749600.0,6.8
1753200.0,12.0
1756800.0,14.5
1760400.0,17.1
1764000.0,19.4
1767600.0,21.0
1771200.0,22.7
1774800.0,23.7
1778400.0,24.7
1782000.0,25.3
1785600.0,25.7
1789200.0,24.3
1792800.0,23.4
1796400.0,22.2
1800000.0,20.4
1803600.0,18.0
1807200.0,17.9
1810800.0,19.1
1814400.0,17.4
1818000.0,16.1
1821600.0,15.5
1825200.0,14.8
1828800.0,14.1
1832400.0,14.0
1836000.0,14.6
1839600.0,16.3
1843200.0,19.6
1846800.0,22.6
1850400.0,23.0
1854000.0,23.7
1857600.0,24.7
1861200.0,25.2
1864800.0,25.3
1868400.0,26.4
1872000.0,24.5
1875600.0,25.0
1879200.0,23.3
1882800.0,22.3
1886400.0,19.5
1890000.0,18.3
1893600.0,16.3
1897200.0,14.1
1900800.0,12.6
1904400.0,11.5
1908000.0,10.4
1911600.0,9.7
1915200.0,9.3
1918800.0,9.8
1922400.0,11.1
1926000.0,14.9
1929600.0,15.9
1933200.0,17.4
1936800.0,19.2
1940400.0,19.6
1944000.0,20.6
1947600.0,20.7
1951200.0,21.0
1954800.0,22.4
1958400.0,21.9
1962000.0,22.3
1965600.0,21.8
1969200.0,20.8
1972800.0,17.2
1976400.0,15.3
1980000.0,13.8
1983600.0,12.7
1987200.0,11.7
1990800.0,10.9
1994400.0,10.2
1998000.0,9.5
2001600.0,9.5
2005200.0,9.2
2008800.0,10.6
2012400.0,15.5
2016000.0,19.5
2019600.0,22.2
2023200.0,24.7
2026800.0,25.5
2030400.0,26.6
2034000.0,28.5
2037600.0,28.6
2041200.0,28.9
2044800.0,29.5
2048400.0,29.3
2052000.0,28.3
2055600.0,24.5
2059200.0,21.1
2062800.0,18.8
2066400.0,17.1
2070000.0,15.8
2073600.0,15.0
2077200.0,14.4
2080800.0,13.5
2084400.0,12.9
2088000.0,12.2
2091600.0,12.0
2095200.0,13.5
2098800.0,18.1
2102400.0,22.7
2106000.0,25.0
2109600.0,26.9
2113200.0,28.1
2116800.0,29.3
2120400.0,30.1
2124000.0,31.3
2127600.0,31.7
2131200.0,31.6
2134800.0,31.6
2138400.0,30.5
2142000.0,27.9
2145600.0,23.6
2149200.0,21.5
2152800.0,19.5
2156400.0,18.0
2160000.0,17.3
2163600.0,16.7
2167200.0,16.0
2170800.0,15.0
2174400.0,14.5
2178000.0,14.4
2181600.0,15.8
2185200.0,20.6
2188800.0,24.5
2192400.0,27.1
2196000.0,28.8
2199600.0,30.5
2203200.0,30.9
2206800.0,31.7
2210400.0,31.8
2214000.0,33.3
2217600.0,33.0
2221200.0,31.5
2224800.0,22.8
2228400.0,20.4
2232000.0,19.6
2235600.0,18.6
2239200.0,18.3
2242800.0,17.8
2246400.0,17.7
2250000.0,16.9
2253600.0,15.2
2257200.0,14.5
2260800.0,14.0
2264400.0,13.8
2268000.0,16.4
2271600.0,17.2
2275200.0,18.9
2278800.0,21.2
2282400.0,21.0
2286000.0,22.5
2289600.0,24.4
2293200.0,24.0
2296800.0,24.6
2300400.0,25.9
2304000.0,26.5
2307600.0,25.8
2311200.0,23.9
2314800.0,22.3
2318400.0,20.3
2322000.0,19.5
2325600.0,18.0
2329200.0,17.3
2332800.0,16.8
2336400.0,16.8
2340000.0,16.5
2343600.0,16.3
2347200.0,16.1
2350800.0,15.8
2354400.0,16.4
2358000.0,17.4
2361600.0,19.0
2365200.0,20.5
2368800.0,22.1
2372400.0,23.1
2376000.0,24.4
2379600.0,25.5
2383200.0,26.0
2386800.0,26.5
2390400.0,19.6
2394000.0,17.8
2397600.0,17.9
2401200.0,17.9
2404800.0,17.5
2408400.0,16.7
2412000.0,16.2
2415600.0,15.5
2419200.0,15.8
2422800.0,15.2
2426400.0,14.6
2430000.0,14.1
2433600.0,13.6
2437200.0,13.4
2440800.0,13.2
2444400.0,13.5
2448000.0,14.2
2451600.0,15.7
2455200.0,17.0
2458800.0,17.8
2462400.0,18.9
2466000.0,19.8
2469600.0,20.7
2473200.0,21.3
2476800.0,21.1
2480400.0,20.8
2484000.0,19.6
2487600.0,18.2
2491200.0,15.7
2494800.0,14.3
2498400.0,13.5
2502000.0,11.9
2505600.0,10.7
2509200.0,10.7
2512800.0,10.5
2516400.0,10.6
2520000.0,10.5
2523600.0,10.2
2527200.0,11.1
2530800.0,13.0
2534400.0,16.0
2538000.0,18.6
2541600.0,19.4
2545200.0,20.1
2548800.0,20.6
2552400.0,20.7
2556000.0,23.1
2559600.0,23.1
2563200.0,20.8
2566800.0,20.8
2570400.0,19.4
2574000.0,17.8
2577600.0,15.9
2581200.0,14.7
2584800.0,13.3
2588400.0,12.2
2592000.0,11.5
2595600.0,11.1
2599200.0,10.5
2602800.0,10.0
2606400.0,9.8
2610000.0,9.3
2743200.0,22.0
2746800.0,21.5
2750400.0,18.2
2754000.0,16.5
2757600.0,15.1
2761200.0,13.7
2764800.0,12.3
2768400.0,11.1
2772000.0,10.4
2775600.0,9.7
2779200.0,9.5
2782800.0,10.4
2786400.0,11.5
2790000.0,16.1
2793600.0,20.0
2797200.0,20.1
2800800.0,19.7
2804400.0,20.5
2808000.0,20.9
2811600.0,20.4
2815200.0,20.4
2818800.0,19.5
2822400.0,19.0
2826000.0,18.1
2829600.0,17.2
2833200.0,16.7
2836800.0,15.7
2840400.0,15.1
2844000.0,15.0
2847600.0,15.2
2851200.0,14.3
2854800.0,13.7
2858400.0,13.1
2862000.0,12.5
2865600.0,12.5
2869200.0,12.3
2872800.0,12.7
2876400.0,13.1
2880000.0,13.8
2883600.0,14.5
2887200.0,14.6
2890800.0,15.1
2894400.0,14.5
2898000.0,15.4
2901600.0,15.9
2905200.0,16.9
2908800.0,17.0
2912400.0,17.5
2916000.0,17.0
2919600.0,15.2
2923200.0,13.3
2926800.0,13.4
2930400.0,12.0
2934000.0,10.2
2937600.0,9.1
2941200.0,9.5
2944800.0,7.9
2948400.0,6.9
2952000.0,6.4
2955600.0,6.6
2959200.0,7.6
2962800.0,11.1
2966400.0,16.1
2970000.0,19.1
2973600.0,20.0
2977200.0,20.3
2980800.0,21.8
2984400.0,21.2
2988000.0,21.8
2991600.0,21.7
2995200.0,20.7
2998800.0,20.0
3002400.0,18.9
3006000.0,17.6
3009600.0,16.9
3013200.0,15.7
3016800.0,14.7
3020400.0,13.7
3024000.0,13.3
3027600.0,13.1
3031200.0,13.3
3034800.0,13.7
3038400.0,14.0
3042000.0,14.3
3045600.0,14.8
3049200.0,15.6
3052800.0,16.4
3056400.0,16.4
3060000.0,16.9
3063600.0,16.3
3067200.0,16.4
3070800.0,17.6
3074400.0,16.5
3078000.0,15.3
3081600.0,13.3
3085200.0,13.0
3088800.0,12.6
3092400.0,12.4
3096000.0,11.7
3099600.0,11.2
3103200.0,10.1
3106800.0,9.5
3110400.0,9.7
3114000.0,9.5
3117600.0,9.4
3121200.0,9.3
3124800.0,9.2
3128400.0,8.5
3132000.0,7.5
3135600.0,7.4
3139200.0,7.3
3142800.0,8.4
3146400.0,9.3
3150000.0,9.8
3153600.0,11.6
3157200.0,13.4
3160800.0,15.1
3164400.0,15.2
3168000.0,15.7
3171600.0,15.6
3175200.0,15.2
3178800.0,13.2
3182400.0,9.5
3186000.0,7.3
3189600.0,6.0
3193200.0,4.9
3196800.0,3.9
3200400.0,3.4
3204000.0,3.9
3207600.0,3.8
3211200.0,2.8
3214800.0,2.2
3218400.0,3.7
3222000.0,9.4
3225600.0,10.7
3229200.0,12.7
3232800.0,13.0
3236400.0,13.1
3240000.0,13.5
3243600.0,14.3
3247200.0,14.4
3250800.0,15.2
3254400.0,14.8
3258000.0,15.1
3261600.0,13.9
3265200.0,12.6
3268800.0,9.9
3272400.0,8.6
3276000.0,8.0
3279600.0,7.9
3283200.0,7.0
3286800.0,5.7
3290400.0,5.8
3294000.0,5.2
3297600.0,3.4
3301200.0,2.7
3304800.0,4.4
3308400.0,9.3
3312000.0,10.6
3315600.0,12.5
3319200.0,14.1
3322800.0,15.1
3326400.0,16.4
3330000.0,16.6
3333600.0,18.2
3337200.0,17.5
3340800.0,18.2
3344400.0,18.0
3348000.0,18.0
3351600.0,14.9
3355200.0,11.3
3358800.0,9.1
3362400.0,8.2
3366000.0,7.1
3369600.0,6.7
3373200.0,6.2
3376800.0,6.5
3380400.0,6.6
3384000.0,6.5
3387600.0,6.9
3391200.0,8.0
3394800.0,9.6
3398400.0,12.4
3402000.0,12.8
3405600.0,12.0
3409200.0,12.8
3412800.0,12.1
3416400.0,11.6
3420000.0,11.6
3423600.0,11.2
3427200.0,11.1
3430800.0,11.0
3434400.0,10.9
3438000.0,10.9
3441600.0,10.8
3445200.0,10.8
3448800.0,10.7
3452400.0,10.7
3456000.0,10.7
3459600.0,10.7
3463200.0,10.8
3466800.0,10.8
3470400.0,11.0
3474000.0,11.2
3477600.0,12.0
3531600.0,12.1
3535200.0,10.0
3538800.0,9.0
3542400.0,8.0
3546000.0,7.5
3549600.0,7.4
3553200.0,6.9
3556800.0,7.0
3560400.0,6.6
3564000.0,7.8
3567600.0,10.3
3582000.0,19.9
3585600.0,20.6
3589200.0,20.8
3592800.0,21.1
3596400.0,21.8
3600000.0,21.1
3603600.0,21.5
3607200.0,20.5
3610800.0,19.0
3614400.0,16.8
3618000.0,15.9
3621600.0,15.3
3625200.0,15.0
3628800.0,14.8
3632400.0,14.8
3636000.0,14.6
3639600.0,14.5
3643200.0,14.0
3646800.0,14.0
3650400.0,14.1
3654000.0,14.1
3657600.0,14.2
3661200.0,14.3
3664800.0,14.5
3668400.0,14.9
3672000.0,15.7
3675600.0,16.4
3679200.0,16.5
3682800.0,17.3
3686400.0,16.5
3690000.0,17.2
3693600.0,17.2
3697200.0,16.8
3700800.0,14.7
3704400.0,13.2
3708000.0,12.2
3711600.0,11.3
3715200.0,10.6
3718800.0,10.2
3722400.0,10.1
3726000.0,10.2
3729600.0,10.1
3733200.0,10.4
3736800.0,11.6
3740400.0,15.2
3744000.0,17.2
3747600.0,19.4
3751200.0,20.6
3754800.0,21.7
3758400.0,22.3
3762000.0,22.0
3765600.0,22.2
3769200.0,22.7
3772800.0,22.4
3776400.0,22.6
3780000.0,23.0
3783600.0,19.3
3787200.0,17.2
3790800.0,15.3
3794400.0,14.7
3798000.0,14.5
3801600.0,13.8
3805200.0,13.1
3808800.0,13.1
3812400.0,13.1
3816000.0,13.2
3819600.0,13.3
3823200.0,13.9
3826800.0,15.3
3830400.0,16.7
3834000.0,14.2
3837600.0,14.3
3841200.0,14.1
3844800.0,14.5
3848400.0,15.9
3852000.0,16.5
3855600.0,17.1
3859200.0,18.1
3862800.0,17.8
3866400.0,17.9
3870000.0,16.0
3873600.0,13.6
3877200.0,11.5
3880800.0,9.9
3884400.0,8.6
3888000.0,7.6
3891600.0,6.6
3895200.0,5.8
3898800.0,5.3
3902400.0,4.4
3906000.0,3.9
3909600.0,5.9
3913200.0,10.4
3916800.0,14.5
3920400.0,16.5
3924000.0,17.8
3927600.0,18.7
3931200.0,19.9
3934800.0,20.9
3938400.0,20.7
3942000.0,20.7
3945600.0,20.3
3949200.0,19.7
3952800.0,19.0
3956400.0,17.5
3960000.0,14.1
3963600.0,11.2
3967200.0,10.3
3970800.0,10.2
3974400.0,10.2
3978000.0,9.3
3981600.0,9.3
3985200.0,9.2
3988800.0,9.7
3992400.0,10.0
3996000.0,10.7
3999600.0,12.1
4003200.0,11.6
4006800.0,13.0
4010400.0,14.0
4014000.0,13.2
4017600.0,13.4
4021200.0,14.1
4024800.0,15.0
4028400.0,16.1
4032000.0,17.1
4035600.0,17.3
4039200.0,16.0
4042800.0,14.9
4046400.0,13.6
4050000.0,13.2
4053600.0,12.7
4057200.0,11.9
4060800.0,11.7
4064400.0,11.8
4068000.0,11.8
4071600.0,11.5
4075200.0,10.5
4078800.0,10.2
4082400.0,11.2
4086000.0,12.7
4089600.0,14.5
4093200.0,16.5
4096800.0,19.0
4100400.0,20.7
4104000.0,21.6
4107600.0,22.2
4111200.0,23.5
4114800.0,23.5
4118400.0,24.4
4122000.0,24.5
4125600.0,23.6
4129200.0,19.6
4132800.0,16.7
4136400.0,14.5
4140000.0,13.4
4143600.0,11.7
4147200.0,10.1
4150800.0,9.0
4154400.0,8.0
4158000.0,7.4
4161600.0,6.7
4165200.0,6.5
4168800.0,8.6
4172400.0,12.9
4176000.0,18.8
4179600.0,21.3
4183200.0,22.5
4186800.0,23.8
4190400.0,24.8
4194000.0,25.4
4197600.0,26.0
4201200.0,25.8
4204800.0,26.2
4208400.0,24.7
4212000.0,24.5
4215600.0,23.1
4219200.0,21.2
4222800.0,18.8
4226400.0,16.1
4230000.0,15.1
4233600.0,14.6
4237200.0,15.3
4240800.0,16.0
4244400.0,14.0
4248000.0,13.3
4251600.0,13.2
4255200.0,14.8
4258800.0,20.3
4262400.0,20.5
4266000.0,21.0
4269600.0,21.7
4273200.0,23.2
4276800.0,26.2
4280400.0,28.0
4284000.0,26.4
4287600.0,25.6
4291200.0,25.7
4294800.0,24.1
4298400.0,24.4
4302000.0,23.7
4305600.0,21.8
4309200.0,21.5
4312800.0,20.5
4316400.0,19.7
4320000.0,17.4
4323600.0,15.9
4327200.0,15.5
4330800.0,14.3
4334400.0,13.5
4338000.0,13.6
4341600.0,14.7
4345200.0,17.2
4348800.0,18.4
4352400.0,19.8
4356000.0,20.7
4359600.0,21.6
4363200.0,21.1
4366800.0,21.5
4370400.0,21.5
4374000.0,21.6
4377600.0,21.8
4381200.0,21.7
4384800.0,20.9
4388400.0,19.9
4392000.0,18.0
4395600.0,17.4
4399200.0,15.3
4402800.0,15.3
4406400.0,13.4
4410000.0,12.1
4413600.0,11.3
4417200.0,10.3
4420800.0,9.4
4424400.0,8.9
4428000.0,10.8
4431600.0,14.9
4435200.0,18.5
4438800.0,19.6
4442400.0,21.0
4446000.0,22.2
4449600.0,22.3
4453200.0,23.2
4456800.0,23.9
4460400.0,24.6
4464000.0,25.1
4467600.0,25.5
4471200.0,24.5
4474800.0,21.6
4478400.0,18.8
4482000.0,16.0
4485600.0,14.0
4489200.0,12.8
4492800.0,12.4
4496400.0,12.1
4500000.0,12.1
4503600.0,12.0
4507200.0,12.0
4510800.0,11.9
4514400.0,13.6
4518000.0,16.0
4521600.0,18.6
4525200.0,19.2
4528800.0,19.8
4532400.0,20.0
4536000.0,18.3
4539600.0,16.4
4543200.0,16.3
4546800.0,16.2
4550400.0,16.3
4554000.0,16.4
4557600.0,16.5
4561200.0,16.5
4564800.0,16.4
4568400.0,16.3
4572000.0,16.2
4575600.0,16.2
4579200.0,16.2
4582800.0,16.2
4586400.0,16.3
4590000.0,16.2
4593600.0,16.2
4597200.0,16.7
4600800.0,17.4
4604400.0,18.0
4608000.0,18.4
4611600.0,19.5
4615200.0,21.7
4618800.0,24.0
4622400.0,23.5
4626000.0,24.8
4629600.0,24.6
4633200.0,24.6
4636800.0,23.4
4640400.0,21.7
4644000.0,21.8
4647600.0,20.7
4651200.0,20.1
4654800.0,19.5
4658400.0,19.1
4662000.0,18.5
4665600.0,17.7
4669200.0,17.3
4672800.0,17.3
4676400.0,17.3
4680000.0,16.7
4683600.0,16.6
4687200.0,16.7
4690800.0,17.6
4694400.0,17.7
4698000.0,18.0
4701600.0,15.2
4705200.0,16.2
4708800.0,18.0
4712400.0,19.0
4716000.0,20.8
4719600.0,20.4
4723200.0,20.2
4726800.0,20.1
4730400.0,19.5
4734000.0,16.0
4737600.0,14.1
4741200.0,12.4
4744800.0,11.6
4748400.0,10.8
4752000.0,11.1
4755600.0,11.0
4759200.0,11.0
4762800.0,11.9
4766400.0,13.1
4770000.0,13.5
4773600.0,14.5
4777200.0,13.9
4780800.0,14.9
4784400.0,16.3
4788000.0,17.0
4791600.0,17.9
4795200.0,18.3
4798800.0,20.1
4802400.0,20.7
4806000.0,20.7
4809600.0,20.4
4813200.0,20.9
4816800.0,19.9
4820400.0,18.2
4824000.0,16.1
4827600.0,14.4
4831200.0,14.0
4834800.0,13.6
4838400.0,13.2
4842000.0,13.1
4845600.0,12.7
4849200.0,12.6
4852800.0,12.6
4856400.0,12.9
4860000.0,13.4
4863600.0,13.9
4867200.0,14.4
4870800.0,15.0
4874400.0,14.9
4878000.0,15.4
4881600.0,16.6
4885200.0,17.9
4888800.0,19.2
4892400.0,20.2
4896000.0,20.1
4899600.0,20.5
4903200.0,20.4
4906800.0,18.0
4910400.0,16.5
4914000.0,14.9
4917600.0,13.7
4921200.0,13.0
4924800.0,12.7
4928400.0,12.8
4932000.0,12.5
4935600.0,12.3
4939200.0,12.2
4942800.0,12.1
4946400.0,12.8
4950000.0,13.6
4953600.0,15.0
4957200.0,17.1
4960800.0,19.6
4964400.0,20.6
4968000.0,20.5
4971600.0,20.4
4975200.0,20.0
4978800.0,19.8
4982400.0,19.5
4986000.0,19.2
4989600.0,18.9
4993200.0,18.2
4996800.0,17.4
5000400.0,17.4
5004000.0,18.2
5007600.0,18.1
5011200.0,17.6
5014800.0,17.8
5018400.0,18.0
5022000.0,18.1
5025600.0,18.1
5029200.0,18.0
5032800.0,18.7
5036400.0,19.3
5040000.0,19.8
5043600.0,20.7
5047200.0,21.3
5050800.0,22.6
5054400.0,22.7
5058000.0,24.0
5061600.0,24.8
5065200.0,23.0
5068800.0,23.1
5072400.0,16.9
5076000.0,16.6
5079600.0,16.8
5083200.0,15.7
5086800.0,15.2
5090400.0,15.1
5094000.0,15.3
5097600.0,14.2
5101200.0,12.7
5104800.0,11.8
5108400.0,11.7
5112000.0,11.4
5115600.0,11.0
5119200.0,11.6
5122800.0,12.1
5126400.0,11.6
5130000.0,10.9
5133600.0,12.2
5137200.0,13.3
5140800.0,15.4
5144400.0,16.2
5148000.0,16.2
5151600.0,15.7
5155200.0,14.8
5158800.0,14.5
5162400.0,13.1
5166000.0,12.1
5169600.0,11.4
5173200.0,10.4
5176800.0,8.5
5180400.0,9.4
5184000.0,9.1
5187600.0,9.5
5191200.0,9.0
5194800.0,9.1
5198400.0,8.7
5202000.0,7.9
5205600.0,9.2
5209200.0,10.7
5212800.0,11.1
5216400.0,11.8
5220000.0,12.6
5223600.0,12.9
5227200.0,14.4
5230800.0,15.1
5234400.0,16.2
5238000.0,15.4
5241600.0,15.6
5245200.0,15.3
5248800.0,14.6
5252400.0,13.3
5256000.0,10.9
5259600.0,11.0
5263200.0,9.9
5266800.0,10.0
